上市公司代码,上市公司简称,门类代码,门类简称,次类代码,次类简称,大类代码,大类简称
601985,中国核电,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
601988,中国银行,J,金融业,,,66,货币金融服务
601990,南京证券,J,金融业,,,67,资本市场服务
601991,大唐发电,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
601992,金隅集团,C,制造业,CF,金属、非金属,30,非金属矿物制品业
601995,中金公司,J,金融业,,,67,资本市场服务
601996,丰林集团,C,制造业,CC,木材、家具,20,木材加工和木、竹、藤、棕、草制品业
601997,贵阳银行,J,金融业,,,66,货币金融服务
601998,中信银行,J,金融业,,,66,货币金融服务
601999,出版传媒,R,文化、体育和娱乐业,,,86,新闻和出版业
603000,人民网,I,信息传输、软件和信息技术服务业,,,64,互联网和相关服务
603001,奥康国际,C,制造业,CB,纺织、服装、鞋帽,19,皮革、毛皮、羽毛及其制品和制鞋业
603002,宏昌电子,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603004,鼎龙科技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603005,晶方科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603006,联明股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603007,*ST花王,E,建筑业,,,48,土木工程建筑业
603008,喜临门,C,制造业,CC,木材、家具,21,家具制造业
603009,北特科技,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603010,万盛股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603011,合锻智能,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603012,创力集团,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603013,亚普股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603014,威高血净,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603015,弘讯科技,C,制造业,CI,仪器、仪表,40,仪器仪表制造业
603016,新宏泰,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603017,中衡设计,M,科学研究和技术服务业,,,74,专业技术服务业
603018,华设集团,M,科学研究和技术服务业,,,74,专业技术服务业
603019,中科曙光,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603020,爱普股份,C,制造业,CA,食品、饮料、烟草,14,食品制造业
603021,ST华鹏,C,制造业,CF,金属、非金属,30,非金属矿物制品业
603022,新通联,C,制造业,CC,木材、家具,20,木材加工和木、竹、藤、棕、草制品业
603023,威帝股份,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603025,大豪科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603026,石大胜华,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603027,千禾味业,C,制造业,CA,食品、饮料、烟草,14,食品制造业
603028,赛福天,C,制造业,CF,金属、非金属,33,金属制品业
603029,天鹅股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603030,全筑股份,E,建筑业,,,50,建筑装饰、装修和其他建筑业
603031,安孚科技,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603032,德新科技,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603033,三维股份,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
603035,常熟汽饰,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603036,如通股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603037,凯众股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603038,华立股份,C,制造业,CJ,其他制造业,41,其他制造业
603039,泛微网络,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
603040,新坐标,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603041,美思德,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603042,华脉科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603043,广州酒家,C,制造业,CA,食品、饮料、烟草,14,食品制造业
603045,福达合金,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603048,浙江黎明,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603049,中策橡胶,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
603050,科林电气,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603051,鹿山新材,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
603052,可川科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603053,成都燃气,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
603055,台华新材,C,制造业,CB,纺织、服装、鞋帽,17,纺织业
603056,德邦股份,G,交通运输、仓储和邮政业,,,54,道路运输业
603057,紫燕食品,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
603058,永吉股份,C,制造业,CD,造纸、印刷、文教,23,印刷和记录媒介复制业
603059,倍加洁,C,制造业,CJ,其他制造业,41,其他制造业
603060,国检集团,M,科学研究和技术服务业,,,74,专业技术服务业
603061,金海通,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603062,麦加芯彩,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603063,禾望电气,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603065,宿迁联盛,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603066,音飞储存,G,交通运输、仓储和邮政业,,,59,装卸搬运和仓储业
603067,振华股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603068,博通集成,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603069,海汽集团,G,交通运输、仓储和邮政业,,,54,道路运输业
603070,万控智造,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603071,物产环能,F,批发和零售业,,,51,批发业
603072,天和磁材,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603073,彩蝶实业,C,制造业,CB,纺织、服装、鞋帽,17,纺织业
603075,热威股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603076,乐惠国际,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603077,和邦生物,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603078,江化微,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603079,圣达生物,C,制造业,CA,食品、饮料、烟草,14,食品制造业
603080,新疆火炬,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
