上市公司代码,上市公司简称,门类代码,门类简称,次类代码,次类简称,大类代码,大类简称
002601,龙佰集团,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002602,ST华通,I,信息传输、软件和信息技术服务业,,,64,互联网和相关服务
002603,以岭药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002605,姚记科技,I,信息传输、软件和信息技术服务业,,,64,互联网和相关服务
002606,大连电瓷,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002607,中公教育,P,教育,,,83,教育
002608,江苏国信,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
002609,捷顺科技,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002611,东方精工,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002612,朗姿股份,C,制造业,CB,纺织、服装、鞋帽,18,纺织服装、服饰业
002613,北玻股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002614,奥佳华,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002615,哈尔斯,C,制造业,CF,金属、非金属,33,金属制品业
002616,长青集团,N,水利、环境和公共设施管理业,,,77,生态保护和环境治理业
002617,露笑科技,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002620,ST瑞和,E,建筑业,,,50,建筑装饰、装修和其他建筑业
002622,皓宸医疗,Q,卫生和社会工作,,,84,卫生
002623,亚玛顿,C,制造业,CF,金属、非金属,30,非金属矿物制品业
002624,完美世界,I,信息传输、软件和信息技术服务业,,,64,互联网和相关服务
002625,光启技术,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
002626,金达威,C,制造业,CA,食品、饮料、烟草,14,食品制造业
002627,三峡旅游,N,水利、环境和公共设施管理业,,,78,公共设施管理业
002628,成都路桥,E,建筑业,,,48,土木工程建筑业
002629,仁智股份,B,采矿业,,,11,开采专业及辅助性活动
002630,ST华西,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002631,德尔未来,C,制造业,CC,木材、家具,20,木材加工和木、竹、藤、棕、草制品业
002632,道明光学,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002633,申科股份,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002634,棒杰股份,C,制造业,CB,纺织、服装、鞋帽,18,纺织服装、服饰业
002635,安洁科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002636,金安国纪,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002637,赞宇科技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002638,勤上股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002639,雪人集团,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002640,跨境通,F,批发和零售业,,,52,零售业
002641,公元股份,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002642,荣联科技,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002643,万润股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002644,佛慈制药,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002645,华宏科技,C,制造业,CJ,其他制造业,42,废弃资源综合利用业
002646,天佑德酒,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
002647,*ST仁东,J,金融业,,,69,其他金融业
002648,卫星化学,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002649,博彦科技,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002650,ST加加,C,制造业,CA,食品、饮料、烟草,14,食品制造业
002651,利君股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002652,扬子新材,C,制造业,CF,金属、非金属,33,金属制品业
002653,海思科,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002654,万润科技,L,租赁和商务服务业,,,72,商务服务业
002655,共达电声,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002656,*ST摩登,C,制造业,CB,纺织、服装、鞋帽,18,纺织服装、服饰业
002657,中科金财,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002658,雪迪龙,C,制造业,CI,仪器、仪表,40,仪器仪表制造业
002659,凯文教育,P,教育,,,83,教育
002660,茂硕电源,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002661,克明食品,C,制造业,CA,食品、饮料、烟草,14,食品制造业
002662,峰璟股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002663,普邦股份,E,建筑业,,,48,土木工程建筑业
002664,信质集团,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002666,德联集团,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002667,威领股份,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
002668,TCL智家,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002669,康达新材,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002670,国盛金控,J,金融业,,,67,资本市场服务
002671,龙泉股份,C,制造业,CF,金属、非金属,30,非金属矿物制品业
002672,东江环保,C,制造业,CJ,其他制造业,42,废弃资源综合利用业
002673,西部证券,J,金融业,,,67,资本市场服务
002674,兴业科技,C,制造业,CB,纺织、服装、鞋帽,19,皮革、毛皮、羽毛及其制品和制鞋业
002675,东诚药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002676,顺威股份,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002677,浙江美大,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002678,珠江钢琴,C,制造业,CD,造纸、印刷、文教,24,文教、工美、体育和娱乐用品制造业
002679,福建金森,A,农、林、牧、渔业,,,02,林业
002681,奋达科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002682,龙洲股份,G,交通运输、仓储和邮政业,,,54,道路运输业
002683,广东宏大,B,采矿业,,,11,开采专业及辅助性活动
002685,华东重机,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002686,亿利达,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002687,乔治白,C,制造业,CB,纺织、服装、鞋帽,18,纺织服装、服饰业
002688,金河生物,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002689,远大智能,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002690,美亚光电,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002691,冀凯股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002692,远程股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002693,*ST双成,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002694,顾地科技,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002695,煌上煌,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
002696,百洋股份,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
002697,红旗连锁,F,批发和零售业,,,52,零售业
002698,博实股份,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002700,万憬能源,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
002701,奥瑞金,C,制造业,CF,金属、非金属,33,金属制品业
002702,海欣食品,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
002703,浙江世宝,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002705,新宝股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002706,良信股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002707,众信旅游,L,租赁和商务服务业,,,72,商务服务业
002708,光洋股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002709,天赐材料,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002712,思美传媒,L,租赁和商务服务业,,,72,商务服务业
002713,*ST东易,E,建筑业,,,50,建筑装饰、装修和其他建筑业
002714,牧原股份,A,农、林、牧、渔业,,,03,畜牧业
002715,登云股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002716,湖南白银,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
002717,ST岭南,N,水利、环境和公共设施管理业,,,77,生态保护和环境治理业
002718,友邦吊顶,C,制造业,CJ,其他制造业,41,其他制造业
002719,麦趣尔,C,制造业,CA,食品、饮料、烟草,14,食品制造业
002721,金一文化,C,制造业,CD,造纸、印刷、文教,24,文教、工美、体育和娱乐用品制造业
002722,物产金轮,C,制造业,CF,金属、非金属,33,金属制品业
002723,小崧股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002724,海洋王,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002725,跃岭股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002726,龙大美食,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
002727,一心堂,F,批发和零售业,,,52,零售业
002728,特一药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002729,好利科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002730,电光科技,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002731,萃华珠宝,C,制造业,CD,造纸、印刷、文教,24,文教、工美、体育和娱乐用品制造业
002732,燕塘乳业,C,制造业,CA,食品、饮料、烟草,14,食品制造业
002733,雄韬股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002734,利民股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002735,王子新材,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002736,国信证券,J,金融业,,,67,资本市场服务
002737,葵花药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002738,中矿资源,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
002739,万达电影,R,文化、体育和娱乐业,,,87,广播、电视、电影和录音制作业
002741,光华科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002742,*ST三圣,C,制造业,CF,金属、非金属,30,非金属矿物制品业
002743,富煌钢构,C,制造业,CF,金属、非金属,33,金属制品业
002745,木林森,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002746,仙坛股份,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
002747,埃斯顿,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002748,世龙实业,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002749,国光股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002752,昇兴股份,C,制造业,CF,金属、非金属,33,金属制品业
002753,永东股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002755,奥赛康,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002756,永兴材料,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
002757,南兴股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002758,浙农股份,F,批发和零售业,,,51,批发业
002759,天际股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002760,凤形股份,C,制造业,CF,金属、非金属,33,金属制品业
002761,浙江建投,E,建筑业,,,48,土木工程建筑业
002762,*ST金比,C,制造业,CB,纺织、服装、鞋帽,18,纺织服装、服饰业
002763,汇洁股份,C,制造业,CB,纺织、服装、鞋帽,18,纺织服装、服饰业
002765,蓝黛科技,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002766,索菱股份,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002767,先锋电子,C,制造业,CI,仪器、仪表,40,仪器仪表制造业
002768,国恩股份,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002769,普路通,L,租赁和商务服务业,,,72,商务服务业
002771,真视通,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002772,众兴菌业,A,农、林、牧、渔业,,,01,农业
002773,康弘药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002774,快意电梯,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002775,文科股份,E,建筑业,,,48,土木工程建筑业
002777,久远银海,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002778,中晟高科,C,制造业,CE,石油、化学、生物医药,25,石油、煤炭及其他燃料加工业
002779,中坚科技,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002780,三夫户外,F,批发和零售业,,,52,零售业
002782,可立克,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002783,凯龙股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002785,万里石,C,制造业,CF,金属、非金属,30,非金属矿物制品业
002786,银宝山新,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002787,华源控股,C,制造业,CF,金属、非金属,33,金属制品业
002788,鹭燕医药,F,批发和零售业,,,51,批发业
002789,*ST建艺,E,建筑业,,,50,建筑装饰、装修和其他建筑业
002790,瑞尔特,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002791,坚朗五金,C,制造业,CF,金属、非金属,33,金属制品业
002792,通宇通讯,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002793,罗欣药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002795,永和智控,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002796,世嘉科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002797,第一创业,J,金融业,,,67,资本市场服务
002798,帝欧水华,C,制造业,CF,金属、非金属,30,非金属矿物制品业
002799,环球印务,C,制造业,CD,造纸、印刷、文教,22,造纸和纸制品业
002800,天顺股份,G,交通运输、仓储和邮政业,,,54,道路运输业
002801,微光股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002802,洪汇新材,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002803,吉宏股份,F,批发和零售业,,,52,零售业
002805,丰元股份,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002806,华锋股份,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002807,江阴银行,J,金融业,,,66,货币金融服务
002808,*ST恒久,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002809,红墙股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002810,山东赫达,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002811,郑中设计,M,科学研究和技术服务业,,,74,专业技术服务业
002812,恩捷股份,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002813,路畅科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002815,崇达技术,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002816,*ST和科,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002817,黄山胶囊,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002818,富森美,L,租赁和商务服务业,,,72,商务服务业
002819,东方中科,F,批发和零售业,,,51,批发业
002820,桂发祥,C,制造业,CA,食品、饮料、烟草,14,食品制造业
002821,凯莱英,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002822,*ST中装,E,建筑业,,,50,建筑装饰、装修和其他建筑业
002823,凯中精密,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002824,和胜股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002825,纳尔股份,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002826,易明医药,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002827,高争民爆,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002828,贝肯能源,B,采矿业,,,11,开采专业及辅助性活动
002829,星网宇达,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
002830,名雕股份,E,建筑业,,,50,建筑装饰、装修和其他建筑业
002831,裕同科技,C,制造业,CD,造纸、印刷、文教,22,造纸和纸制品业
002832,比音勒芬,C,制造业,CB,纺织、服装、鞋帽,18,纺织服装、服饰业
002833,弘亚数控,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002835,同为股份,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002836,新宏泽,C,制造业,CD,造纸、印刷、文教,23,印刷和记录媒介复制业
002837,英维克,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002838,道恩股份,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002839,张家港行,J,金融业,,,66,货币金融服务
002840,华统股份,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
002841,视源股份,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002842,翔鹭钨业,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
002843,泰嘉股份,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002845,同兴达,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002846,英联股份,C,制造业,CF,金属、非金属,33,金属制品业
002847,盐津铺子,C,制造业,CA,食品、饮料、烟草,14,食品制造业
002848,*ST高斯,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002849,威星智能,C,制造业,CI,仪器、仪表,40,仪器仪表制造业
002850,科达利,C,制造业,CF,金属、非金属,33,金属制品业
002851,麦格米特,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002852,道道全,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
002853,皮阿诺,C,制造业,CC,木材、家具,21,家具制造业
002855,捷荣技术,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002856,美芝股份,E,建筑业,,,50,建筑装饰、装修和其他建筑业
002857,三晖电气,C,制造业,CI,仪器、仪表,40,仪器仪表制造业
002858,力盛体育,R,文化、体育和娱乐业,,,89,体育
002859,洁美科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002860,星帅尔,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002861,瀛通通讯,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002862,实丰文化,C,制造业,CD,造纸、印刷、文教,24,文教、工美、体育和娱乐用品制造业
002863,今飞凯达,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002864,盘龙药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002865,钧达股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002866,传艺科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002867,周大生,F,批发和零售业,,,51,批发业
002868,*ST绿康,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002869,金溢科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002870,香山股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002871,伟隆股份,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002872,ST天圣,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002873,新天药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002875,安奈儿,C,制造业,CB,纺织、服装、鞋帽,18,纺织服装、服饰业
002876,三利谱,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002877,智能自控,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002878,元隆雅图,L,租赁和商务服务业,,,72,商务服务业
002879,长缆科技,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002880,卫光生物,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002881,美格智能,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002882,金龙羽,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002883,中设股份,M,科学研究和技术服务业,,,74,专业技术服务业
002884,凌霄泵业,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002885,京泉华,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002886,沃特股份,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002887,绿茵生态,N,水利、环境和公共设施管理业,,,77,生态保护和环境治理业
002888,惠威科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002889,东方嘉盛,L,租赁和商务服务业,,,72,商务服务业
002890,弘宇股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002891,中宠股份,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
002892,科力尔,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002893,京能热力,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
002895,川恒股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002896,中大力德,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002897,意华股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002898,*ST赛隆,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002899,英派斯,C,制造业,CD,造纸、印刷、文教,24,文教、工美、体育和娱乐用品制造业
002900,哈三联,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002901,大博医疗,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002902,铭普光磁,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002903,宇环数控,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002905,金逸影视,R,文化、体育和娱乐业,,,87,广播、电视、电影和录音制作业
002906,华阳集团,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002907,华森制药,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002908,德生科技,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002909,集泰股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002910,庄园牧场,C,制造业,CA,食品、饮料、烟草,14,食品制造业
002911,佛燃能源,D,电力、热力、燃气及水生产和供应业,,,45,燃气生产和供应业
002912,中新赛克,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002913,奥士康,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002915,中欣氟材,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002916,深南电路,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002917,金奥博,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002918,蒙娜丽莎,C,制造业,CF,金属、非金属,30,非金属矿物制品业
002919,名臣健康,I,信息传输、软件和信息技术服务业,,,64,互联网和相关服务
002920,德赛西威,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002921,联诚精密,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002922,伊戈尔,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002923,润都股份,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002925,盈趣科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002926,华西证券,J,金融业,,,67,资本市场服务
002927,泰永长征,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002928,华夏航空,G,交通运输、仓储和邮政业,,,56,航空运输业
002929,润建股份,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002930,宏川智慧,G,交通运输、仓储和邮政业,,,59,装卸搬运和仓储业
002931,锋龙股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002932,明德生物,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002933,新兴装备,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
002935,天奥电子,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002936,郑州银行,J,金融业,,,66,货币金融服务
002937,兴瑞科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002938,鹏鼎控股,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002939,长城证券,J,金融业,,,67,资本市场服务
002940,昂利康,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002941,新疆交建,E,建筑业,,,48,土木工程建筑业
002942,新农股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002943,宇晶股份,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
002945,华林证券,J,金融业,,,67,资本市场服务
002946,新乳业,C,制造业,CA,食品、饮料、烟草,14,食品制造业
002947,恒铭达,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002948,青岛银行,J,金融业,,,66,货币金融服务
002949,华阳国际,M,科学研究和技术服务业,,,74,专业技术服务业
002950,奥美医疗,C,制造业,CE,石油、化学、生物医药,27,医药制造业
002951,金时科技,C,制造业,CD,造纸、印刷、文教,23,印刷和记录媒介复制业
002952,亚世光电,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002953,日丰股份,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002955,鸿合科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002956,西麦食品,C,制造业,CA,食品、饮料、烟草,14,食品制造业
002957,科瑞技术,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002958,青农商行,J,金融业,,,66,货币金融服务
002959,小熊电器,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
002960,青鸟消防,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002961,瑞达期货,J,金融业,,,67,资本市场服务
002962,五方光电,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002963,豪尔赛,E,建筑业,,,50,建筑装饰、装修和其他建筑业
002965,祥鑫科技,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
002966,苏州银行,J,金融业,,,66,货币金融服务
002967,广电计量,M,科学研究和技术服务业,,,74,专业技术服务业
002968,新大正,K,房地产业,,,70,房地产业
002969,嘉美包装,C,制造业,CF,金属、非金属,33,金属制品业
002970,锐明技术,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002971,和远气体,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002972,科安达,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002973,侨银股份,N,水利、环境和公共设施管理业,,,78,公共设施管理业
002975,博杰股份,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
002976,瑞玛精密,C,制造业,CF,金属、非金属,33,金属制品业
002977,天箭科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002978,安宁股份,B,采矿业,,,09,有色金属矿采选业
002979,雷赛智能,C,制造业,CI,仪器、仪表,40,仪器仪表制造业
002980,华盛昌,C,制造业,CI,仪器、仪表,40,仪器仪表制造业
002981,朝阳科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002982,湘佳股份,A,农、林、牧、渔业,,,03,畜牧业
002983,芯瑞达,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
002984,森麒麟,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
002985,北摩高科,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
002986,宇新股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
002987,京北方,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002988,豪美新材,C,制造业,CF,金属、非金属,32,有色金属冶炼和压延加工业
002989,中天精装,E,建筑业,,,50,建筑装饰、装修和其他建筑业
002990,盛视科技,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
002991,甘源食品,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
